puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,nb_children,restart_after_n_stagnant
15,1,0,9.22,24,5000,0.1,1000,0.2,10,150
7,1,0,11.5,31,5000,0.3,1000,0.4,5,150
1,1,0,19.26,52,5000,0.2,1000,0.4,5,150
34,1,0,23.76,59,5000,0.4,1000,0.4,5,150
32,1,0,158.76,428,5000,0.4,1000,0.1,20,150
37,1,0,37.81,104,5000,0.4,1000,0.2,10,150
5,0,2,343.81,1000,5000,0.1,1000,0.4,5,150
27,0,2,348.75,1000,5000,0.2,1000,0.4,5,150
6,0,2,352.18,1000,5000,0.4,1000,0.4,5,150
47,0,2,353.06,1000,5000,0.3,1000,0.4,5,150
12,0,2,344.19,1000,5000,0.1,1000,0.4,5,150
0,1,0,156.87,440,5000,0.1,1000,0.2,10,150
47,0,2,356.69,1000,5000,0.1,1000,0.1,20,150
1,0,4,358.09,1000,5000,0.1,1000,0.1,20,150
13,0,4,360.04,1000,5000,0.2,1000,0.1,20,150
41,0,2,350.72,1000,5000,0.4,1000,0.4,5,150
8,0,3,365.42,1000,5000,0.4,1000,0.1,20,150
7,1,0,18.67,52,5000,0.1,1000,0.4,5,150
14,0,2,357.08,1000,5000,0.3,1000,0.2,10,150
38,1,0,79.7,223,5000,0.2,1000,0.2,10,150
39,1,0,17.51,47,5000,0.3,1000,0.4,5,150
18,1,0,218.47,651,5000,0.1,1000,0.4,5,150
9,0,3,349.64,1000,5000,0.1,1000,0.2,10,150
44,0,2,358.1,1000,5000,0.3,1000,0.1,20,150
6,0,2,353.37,1000,5000,0.2,1000,0.2,10,150
21,0,3,358.19,1000,5000,0.3,1000,0.2,10,150
24,0,2,356.82,1000,5000,0.2,1000,0.1,20,150
29,0,2,350.7,1000,5000,0.4,1000,0.4,5,150
2,0,4,353.32,1000,5000,0.1,1000,0.2,10,150
22,0,4,358.08,1000,5000,0.2,1000,0.1,20,150
48,0,4,369.38,1000,5000,0.4,1000,0.1,20,150
5,0,2,357.66,1000,5000,0.3,1000,0.2,10,150
36,0,2,351.09,1000,5000,0.2,1000,0.2,10,150
45,0,4,365.82,1000,5000,0.4,1000,0.1,20,150
41,1,0,225.3,644,5000,0.3,1000,0.4,5,150
14,0,2,351.67,1000,5000,0.3,1000,0.4,5,150
5,0,2,351.77,1000,5000,0.1,1000,0.2,10,150
2,0,4,361.9,1000,5000,0.2,1000,0.1,20,150
22,0,2,353.71,1000,5000,0.2,1000,0.2,10,150
10,0,2,355.64,1000,5000,0.2,1000,0.2,10,150
17,0,2,359.63,1000,5000,0.3,1000,0.2,10,150
6,0,2,365.34,1000,5000,0.4,1000,0.1,20,150
40,0,2,359.44,1000,5000,0.4,1000,0.2,10,150
35,1,0,19.57,52,5000,0.4,1000,0.4,5,150
42,0,2,370.82,1000,5000,0.4,1000,0.1,20,150
44,0,2,354.92,1000,5000,0.1,1000,0.2,10,150
38,1,0,143.62,398,5000,0.2,1000,0.1,20,150
17,1,0,262.66,712,5000,0.3,1000,0.2,10,150
10,0,2,355.7,1000,5000,0.3,1000,0.4,5,150
46,0,2,351.94,1000,5000,0.1,1000,0.4,5,150
40,0,4,360.67,1000,5000,0.1,1000,0.2,10,150
10,0,2,371.47,1000,5000,0.4,1000,0.1,20,150
24,0,2,367.22,1000,5000,0.4,1000,0.2,10,150
14,0,4,366.0,1000,5000,0.1,1000,0.1,20,150
49,0,3,367.02,1000,5000,0.2,1000,0.2,10,150
43,0,4,377.35,1000,5000,0.4,1000,0.1,20,150
20,0,4,366.44,1000,5000,0.1,1000,0.1,20,150
13,0,2,368.6,1000,5000,0.2,1000,0.1,20,150
45,0,2,353.79,1000,5000,0.2,1000,0.4,5,150
34,1,0,108.68,318,5000,0.1,1000,0.4,5,150
32,1,0,102.87,285,5000,0.3,1000,0.1,20,150
7,1,0,21.08,57,5000,0.1,1000,0.1,20,150
13,0,2,361.2,1000,5000,0.2,1000,0.2,10,150
31,0,2,351.92,1000,5000,0.3,1000,0.4,5,150
38,1,0,17.45,46,5000,0.3,1000,0.2,10,150
41,0,2,359.11,1000,5000,0.3,1000,0.2,10,150
8,0,4,353.42,1000,5000,0.1,1000,0.2,10,150
9,0,2,359.91,1000,5000,0.4,1000,0.2,10,150
47,0,2,356.53,1000,5000,0.1,1000,0.2,10,150
47,0,3,366.44,1000,5000,0.4,1000,0.1,20,150
27,0,2,351.51,1000,5000,0.2,1000,0.4,5,150
25,0,2,347.04,1000,5000,0.2,1000,0.4,5,150
7,1,0,14.66,39,5000,0.4,1000,0.4,5,150
14,0,2,357.65,1000,5000,0.2,1000,0.2,10,150
34,1,0,29.32,80,5000,0.3,1000,0.4,5,150
38,1,0,94.21,261,5000,0.3,1000,0.2,10,150
33,1,0,102.87,283,5000,0.4,1000,0.2,10,150
5,0,4,358.45,1000,5000,0.4,1000,0.2,10,150
0,1,0,85.87,235,5000,0.4,1000,0.2,10,150
40,0,4,362.49,1000,5000,0.3,1000,0.1,20,150
32,1,0,27.18,75,5000,0.3,1000,0.4,5,150
32,1,0,116.19,321,5000,0.3,1000,0.1,20,150
43,0,2,368.6,1000,5000,0.3,1000,0.1,20,150
24,0,2,358.54,1000,5000,0.2,1000,0.1,20,150
35,0,2,349.45,1000,5000,0.1,1000,0.2,10,150
21,0,2,350.79,1000,5000,0.3,1000,0.4,5,150
43,0,4,363.68,1000,5000,0.1,1000,0.1,20,150
18,0,2,356.61,1000,5000,0.2,1000,0.1,20,150
1,1,0,20.45,54,5000,0.4,1000,0.2,10,150
10,0,2,358.79,1000,5000,0.3,1000,0.2,10,150
46,0,2,356.43,1000,5000,0.4,1000,0.4,5,150
31,1,0,42.09,116,5000,0.4,1000,0.4,5,150
48,0,2,344.48,1000,5000,0.1,1000,0.4,5,150
40,0,4,362.82,1000,5000,0.2,1000,0.1,20,150
34,1,0,199.59,546,5000,0.3,1000,0.1,20,150
16,1,0,13.71,35,5000,0.3,1000,0.1,20,150
12,0,2,344.98,1000,5000,0.2,1000,0.4,5,150
20,1,0,208.19,606,5000,0.2,1000,0.4,5,150
19,1,0,17.14,46,5000,0.4,1000,0.4,5,150
23,0,4,359.44,1000,5000,0.3,1000,0.1,20,150
7,1,0,12.73,33,5000,0.4,1000,0.2,10,150
35,1,0,168.83,470,5000,0.4,1000,0.2,10,150
38,1,0,118.23,341,5000,0.1,1000,0.4,5,150
14,1,0,52.88,149,5000,0.2,1000,0.4,5,150
0,0,2,342.15,1000,5000,0.1,1000,0.4,5,150
23,0,2,361.21,1000,5000,0.2,1000,0.1,20,150
5,0,2,347.78,1000,5000,0.2,1000,0.4,5,150
3,0,2,361.3,1000,5000,0.4,1000,0.1,20,150
4,1,0,84.32,230,5000,0.1,1000,0.1,20,150
49,0,2,343.89,1000,5000,0.1,1000,0.4,5,150
8,0,4,362.3,1000,5000,0.3,1000,0.1,20,150
13,0,2,346.32,1000,5000,0.3,1000,0.2,10,150
35,1,0,262.38,826,5000,0.2,1000,0.4,5,150
1,1,0,271.47,828,5000,0.2,1000,0.2,10,150
44,0,2,329.91,1000,5000,0.4,1000,0.4,5,150
28,0,2,325.74,1000,5000,0.2,1000,0.2,10,150
14,0,2,306.33,1000,5000,0.1,1000,0.1,20,150
21,0,4,294.33,1000,5000,0.1,1000,0.1,20,150
46,0,2,295.49,1000,5000,0.3,1000,0.1,20,150
43,0,4,290.09,1000,5000,0.1,1000,0.1,20,150
