puzzle_id,solved,time_seconds,generations_run,fitness
4,1,12.25,30,0
7,1,12.25,30,0
1,1,20.37,54,0
10,1,28.96,74,0
15,1,13.05,31,0
16,1,12.12,30,0
17,1,38.12,97,0
0,1,96.81,264,0
11,1,110.01,294,0
18,1,21.94,55,0
19,1,18.44,47,0
6,1,131.2,353,0
20,1,23.52,60,0
22,1,19.61,52,0
23,1,45.29,123,0
12,1,203.42,552,0
26,1,117.05,305,0
2,0,367.25,1000,2
3,0,367.81,1000,2
8,0,368.3,1000,2
5,0,371.41,1000,2
9,0,374.69,1000,2
13,0,376.24,1000,2
33,1,16.28,41,0
14,0,375.34,1000,2
32,1,24.94,65,0
35,1,16.72,43,0
37,1,23.87,65,0
39,1,17.69,46,0
34,1,93.03,254,0
21,0,374.04,1000,2
36,1,94.81,261,0
25,0,365.48,1000,2
24,0,370.36,1000,2
27,0,369.58,1000,2
45,1,108.74,298,0
29,1,245.58,689,0
28,0,359.73,1000,2
38,1,260.5,719,0
30,0,355.28,1000,2
31,0,355.52,1000,2
40,0,344.68,1000,2
41,0,335.87,1000,3
42,0,336.59,1000,2
43,0,334.48,1000,2
44,0,328.72,1000,2
46,0,314.65,1000,2
48,0,304.26,1000,2
47,0,304.61,1000,2
49,0,293.08,1000,2
