puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,random_selection_rate,nb_children,restart_after_n_stagnant
15,1,0,18.3,27,5000,0.3,1000,0.1,0.4,4,100
47,0,4,62.55,1000,500,0.2,1000,0.4,0.1,4,100
27,0,2,63.38,1000,500,0.3,1000,0.3,0.2,4,100
47,0,4,83.03,1000,500,0.3,1000,0.1,0.1,10,100
7,1,0,94.12,148,5000,0.1,1000,0.3,0.2,4,100
32,1,0,175.26,697,2000,0.1,1000,0.1,0.4,4,100
8,0,2,252.66,1000,2000,0.05,1000,0.1,0.4,4,100
1,0,2,253.51,1000,2000,0.1,1000,0.3,0.2,4,100
0,1,0,127.1,199,5000,0.3,1000,0.1,0.4,4,100
41,0,2,256.7,1000,2000,0.3,1000,0.4,0.1,4,100
34,0,2,256.45,1000,2000,0.1,1000,0.4,0.1,4,100
1,0,4,332.72,1000,2000,0.05,1000,0.1,0.1,10,100
14,0,4,258.06,1000,2000,0.1,1000,0.2,0.3,4,100
48,0,4,67.3,1000,500,0.3,1000,0.1,0.4,4,100
22,0,6,70.39,1000,500,0.05,1000,0.1,0.3,5,100
37,1,0,396.51,614,5000,0.1,1000,0.2,0.3,4,100
21,0,2,263.79,1000,2000,0.2,1000,0.2,0.3,4,100
6,0,2,288.83,1000,2000,0.3,1000,0.2,0.2,5,100
6,0,4,646.17,1000,5000,0.2,1000,0.4,0.1,4,100
5,0,5,66.16,1000,500,0.05,1000,0.2,0.3,4,100
5,0,2,712.39,1000,5000,0.1,1000,0.3,0.1,5,100
7,1,0,195.96,269,5000,0.05,1000,0.3,0.1,5,100
12,0,2,710.71,1000,5000,0.3,1000,0.3,0.1,5,100
45,0,6,67.26,1000,500,0.05,1000,0.1,0.4,4,100
13,0,2,839.86,1000,5000,0.3,1000,0.1,0.1,10,100
14,0,5,66.68,1000,500,0.05,1000,0.4,0.1,4,100
39,1,0,213.33,327,5000,0.05,1000,0.3,0.2,4,100
5,0,5,71.74,1000,500,0.1,1000,0.2,0.2,5,100
18,1,0,275.37,379,5000,0.2,1000,0.3,0.1,5,100
17,0,2,65.49,1000,500,0.05,1000,0.2,0.3,4,100
9,0,2,657.65,1000,5000,0.3,1000,0.1,0.4,4,100
44,0,4,719.78,1000,5000,0.05,1000,0.1,0.3,5,100
