puzzle_id,solved,time_seconds,generations_run,fitness
8,0,344.3,1000,3
6,0,345.11,1000,2
9,0,345.35,1000,4
3,0,346.17,1000,2
4,0,346.29,1000,2
0,0,346.33,1000,2
5,0,346.99,1000,2
7,0,347.11,1000,2
10,0,347.28,1000,2
2,0,347.53,1000,4
1,0,349.27,1000,2
11,0,352.3,1000,2
12,0,343.28,1000,2
16,0,344.27,1000,2
19,0,343.75,1000,2
21,0,343.83,1000,2
14,0,345.98,1000,2
15,0,346.08,1000,2
18,0,347.04,1000,2
17,0,348.59,1000,2
13,0,349.8,1000,4
20,0,349.68,1000,2
22,0,349.36,1000,2
23,0,358.24,1000,2
24,0,345.17,1000,2
28,0,344.93,1000,2
25,0,348.09,1000,2
27,0,348.5,1000,2
29,0,347.9,1000,2
32,0,346.1,1000,2
26,0,350.16,1000,4
31,0,346.21,1000,2
30,0,348.67,1000,2
33,0,350.92,1000,2
34,0,350.49,1000,2
35,0,363.28,1000,2
36,0,345.83,1000,2
37,0,344.87,1000,2
38,0,344.76,1000,2
39,0,345.21,1000,2
42,0,346.4,1000,2
40,0,347.33,1000,2
43,0,346.36,1000,2
41,0,349.24,1000,2
44,0,348.63,1000,2
46,0,351.1,1000,2
45,0,353.69,1000,2
47,0,362.86,1000,2
48,0,343.64,1000,2
49,0,345.0,1000,2
50,0,343.32,1000,2
51,0,342.54,1000,2
52,0,343.23,1000,2
53,0,344.63,1000,2
54,0,345.69,1000,2
55,0,343.56,1000,2
56,0,344.19,1000,2
57,0,348.3,1000,2
58,0,350.31,1000,2
59,0,357.61,1000,2
60,0,342.24,1000,2
63,0,341.54,1000,2
61,0,343.84,1000,2
62,0,343.61,1000,2
64,0,345.89,1000,2
65,0,345.2,1000,2
67,0,345.61,1000,2
68,0,345.68,1000,2
66,0,348.08,1000,2
69,0,347.83,1000,2
70,0,349.05,1000,4
71,0,358.23,1000,2
72,0,342.56,1000,2
74,0,341.24,1000,2
73,0,342.58,1000,2
75,0,342.61,1000,4
77,0,341.6,1000,2
76,0,343.21,1000,2
80,0,342.33,1000,2
78,0,345.78,1000,3
79,0,344.2,1000,2
81,0,344.1,1000,2
86,1,28.82,80,0
82,0,346.27,1000,2
83,0,356.54,1000,2
84,0,315.93,1000,2
85,0,315.79,1000,2
87,0,317.23,1000,2
88,0,314.73,1000,2
89,0,315.8,1000,2
90,0,314.6,1000,2
91,0,314.76,1000,2
92,0,315.08,1000,2
93,0,312.24,1000,2
94,0,312.67,1000,2
