puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,nb_children,restart_after_n_stagnant
9,0,4,347.76,1000,5000,0.1,1000,0.4,5,150
1,0,2,351.74,1000,5000,0.3,1000,0.4,5,150
8,0,2,355.83,1000,5000,0.3,1000,0.4,5,150
1,0,6,360.96,1000,5000,0.1,1000,0.1,20,150
4,0,2,361.04,1000,5000,0.1,1000,0.1,20,150
9,0,4,361.62,1000,5000,0.2,1000,0.1,20,150
8,0,5,363.11,1000,5000,0.1,1000,0.1,20,150
0,0,2,364.0,1000,5000,0.3,1000,0.2,10,150
3,0,4,367.54,1000,5000,0.4,1000,0.1,20,150
1,0,4,367.79,1000,5000,0.3,1000,0.1,20,150
10,0,4,369.97,1000,5000,0.4,1000,0.1,20,150
3,0,2,373.2,1000,5000,0.4,1000,0.1,20,150
8,0,4,358.73,1000,5000,0.4,1000,0.4,5,150
3,0,2,359.6,1000,5000,0.3,1000,0.2,10,150
0,0,4,357.3,1000,5000,0.1,1000,0.2,10,150
9,0,4,362.92,1000,5000,0.4,1000,0.2,10,150
4,0,2,363.13,1000,5000,0.2,1000,0.2,10,150
1,0,2,361.23,1000,5000,0.2,1000,0.2,10,150
6,0,2,364.44,1000,5000,0.3,1000,0.1,20,150
6,0,2,360.87,1000,5000,0.2,1000,0.1,20,150
3,0,4,366.79,1000,5000,0.3,1000,0.1,20,150
9,0,4,360.64,1000,5000,0.2,1000,0.2,10,150
5,0,2,364.89,1000,5000,0.2,1000,0.1,20,150
0,0,5,361.53,1000,5000,0.1,1000,0.2,10,150
1,0,4,348.28,1000,5000,0.1,1000,0.4,5,150
7,0,2,357.51,1000,5000,0.4,1000,0.4,5,150
4,0,2,348.17,1000,5000,0.1,1000,0.4,5,150
9,0,2,353.63,1000,5000,0.3,1000,0.4,5,150
1,0,4,363.15,1000,5000,0.3,1000,0.2,10,150
9,0,2,359.02,1000,5000,0.2,1000,0.2,10,150
10,0,4,362.95,1000,5000,0.1,1000,0.1,20,150
3,0,2,363.42,1000,5000,0.2,1000,0.1,20,150
6,0,2,362.23,1000,5000,0.2,1000,0.1,20,150
1,0,2,370.64,1000,5000,0.4,1000,0.1,20,150
7,0,2,365.14,1000,5000,0.1,1000,0.2,10,150
4,0,4,370.1,1000,5000,0.4,1000,0.1,20,150
5,0,2,353.57,1000,5000,0.3,1000,0.4,5,150
3,0,2,359.6,1000,5000,0.2,1000,0.2,10,150
5,0,4,368.89,1000,5000,0.3,1000,0.1,20,150
4,0,2,357.56,1000,5000,0.3,1000,0.4,5,150
10,0,2,356.59,1000,5000,0.4,1000,0.4,5,150
1,0,2,354.55,1000,5000,0.3,1000,0.4,5,150
10,0,2,351.52,1000,5000,0.2,1000,0.4,5,150
3,0,2,355.45,1000,5000,0.4,1000,0.4,5,150
8,0,2,353.55,1000,5000,0.3,1000,0.4,5,150
8,0,2,367.03,1000,5000,0.3,1000,0.1,20,150
7,0,2,369.14,1000,5000,0.3,1000,0.1,20,150
4,0,4,369.94,1000,5000,0.3,1000,0.2,10,150
10,0,4,378.35,1000,5000,0.4,1000,0.1,20,150
0,0,2,366.88,1000,5000,0.2,1000,0.2,10,150
6,0,2,368.67,1000,5000,0.2,1000,0.2,10,150
1,0,4,366.63,1000,5000,0.1,1000,0.2,10,150
0,0,2,375.96,1000,5000,0.4,1000,0.1,20,150
5,0,2,369.51,1000,5000,0.4,1000,0.4,5,150
9,0,2,378.3,1000,5000,0.4,1000,0.1,20,150
7,0,2,362.0,1000,5000,0.3,1000,0.4,5,150
6,0,2,369.89,1000,5000,0.4,1000,0.2,10,150
10,0,2,377.71,1000,5000,0.4,1000,0.1,20,150
4,0,4,374.43,1000,5000,0.3,1000,0.1,20,150
3,0,2,376.66,1000,5000,0.3,1000,0.1,20,150
6,1,0,140.23,387,5000,0.3,1000,0.4,5,150
9,1,0,338.6,930,5000,0.3,1000,0.2,10,150
4,0,4,356.69,1000,5000,0.1,1000,0.4,5,150
8,0,2,360.05,1000,5000,0.4,1000,0.4,5,150
9,0,2,358.0,1000,5000,0.4,1000,0.4,5,150
7,0,2,350.69,1000,5000,0.1,1000,0.4,5,150
5,0,2,367.26,1000,5000,0.3,1000,0.2,10,150
2,0,2,368.19,1000,5000,0.4,1000,0.1,20,150
2,0,2,355.46,1000,5000,0.3,1000,0.4,5,150
2,0,2,365.31,1000,5000,0.2,1000,0.1,20,150
0,0,4,367.85,1000,5000,0.2,1000,0.1,20,150
1,0,2,359.57,1000,5000,0.2,1000,0.4,5,150
6,0,2,356.91,1000,5000,0.3,1000,0.2,10,150
7,0,4,341.47,1000,5000,0.2,1000,0.4,5,150
4,0,4,342.84,1000,5000,0.1,1000,0.4,5,150
0,0,2,341.53,1000,5000,0.1,1000,0.4,5,150
4,0,4,344.15,1000,5000,0.1,1000,0.4,5,150
1,0,2,350.94,1000,5000,0.4,1000,0.4,5,150
6,0,2,344.89,1000,5000,0.1,1000,0.2,10,150
1,0,4,351.61,1000,5000,0.2,1000,0.2,10,150
2,0,3,342.22,1000,5000,0.1,1000,0.4,5,150
7,0,4,358.92,1000,5000,0.3,1000,0.1,20,150
4,0,2,355.25,1000,5000,0.1,1000,0.1,20,150
1,0,2,346.95,1000,5000,0.1,1000,0.4,5,150
10,0,2,351.68,1000,5000,0.1,1000,0.2,10,150
3,0,2,341.48,1000,5000,0.2,1000,0.4,5,150
9,0,4,353.22,1000,5000,0.1,1000,0.1,20,150
5,0,3,359.82,1000,5000,0.3,1000,0.1,20,150
7,0,2,353.29,1000,5000,0.2,1000,0.2,10,150
1,0,2,353.93,1000,5000,0.1,1000,0.1,20,150
1,0,2,343.88,1000,5000,0.2,1000,0.4,5,150
3,0,4,353.95,1000,5000,0.1,1000,0.1,20,150
4,0,4,357.14,1000,5000,0.2,1000,0.2,10,150
8,0,2,352.72,1000,5000,0.2,1000,0.1,20,150
7,0,2,359.9,1000,5000,0.2,1000,0.1,20,150
8,0,2,364.71,1000,5000,0.4,1000,0.2,10,150
8,0,2,350.92,1000,5000,0.1,1000,0.2,10,150
6,0,2,344.07,1000,5000,0.2,1000,0.4,5,150
3,0,2,352.44,1000,5000,0.4,1000,0.4,5,150
4,0,2,350.43,1000,5000,0.4,1000,0.4,5,150
10,0,2,359.64,1000,5000,0.3,1000,0.2,10,150
6,1,0,23.84,63,5000,0.4,1000,0.2,10,150
8,0,4,363.32,1000,5000,0.4,1000,0.2,10,150
1,0,2,360.35,1000,5000,0.4,1000,0.2,10,150
9,0,4,356.58,1000,5000,0.1,1000,0.1,20,150
3,0,2,343.0,1000,5000,0.2,1000,0.4,5,150
5,0,3,361.4,1000,5000,0.2,1000,0.1,20,150
1,0,4,357.5,1000,5000,0.1,1000,0.1,20,150
10,0,4,358.77,1000,5000,0.1,1000,0.2,10,150
3,0,2,355.83,1000,5000,0.4,1000,0.2,10,150
9,0,4,328.29,1000,5000,0.2,1000,0.4,5,150
3,0,2,332.69,1000,5000,0.4,1000,0.2,10,150
5,0,2,326.61,1000,5000,0.3,1000,0.2,10,150
6,0,2,324.56,1000,5000,0.3,1000,0.2,10,150
7,0,2,318.02,1000,5000,0.1,1000,0.2,10,150
0,0,2,327.33,1000,5000,0.4,1000,0.2,10,150
8,0,2,316.16,1000,5000,0.2,1000,0.4,5,150
7,0,4,320.24,1000,5000,0.1,1000,0.2,10,150
2,0,4,326.84,1000,5000,0.4,1000,0.2,10,150
7,0,2,309.24,1000,5000,0.2,1000,0.4,5,150
