puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,random_selection_rate,nb_children,restart_after_n_stagnant
75,0,2,629.74,1000,5000,0.1,1000,0.4,0.1,4,150
28,0,2,631.37,1000,5000,0.3,1000,0.3,0.2,4,150
31,0,2,631.92,1000,5000,0.2,1000,0.2,0.3,4,150
4,0,2,639.89,1000,5000,0.4,1000,0.3,0.2,4,150
86,0,2,693.66,1000,5000,0.3,1000,0.1,0.3,5,150
91,0,4,694.86,1000,5000,0.1,1000,0.2,0.2,5,150
75,0,4,695.68,1000,5000,0.2,1000,0.1,0.3,5,150
29,0,4,697.28,1000,5000,0.2,1000,0.2,0.2,5,150
17,0,4,700.95,1000,5000,0.3,1000,0.2,0.2,5,150
3,0,2,704.01,1000,5000,0.4,1000,0.1,0.3,5,150
11,0,2,824.47,1000,5000,0.2,1000,0.1,0.1,10,150
71,0,2,832.39,1000,5000,0.2,1000,0.1,0.1,10,150
44,1,0,428.81,615,5000,0.3,1000,0.3,0.1,5,150
89,0,2,634.47,1000,5000,0.3,1000,0.1,0.4,4,150
43,0,2,640.59,1000,5000,0.4,1000,0.3,0.2,4,150
0,0,3,643.79,1000,5000,0.2,1000,0.2,0.3,4,150
19,0,2,635.33,1000,5000,0.2,1000,0.2,0.3,4,150
12,0,4,633.4,1000,5000,0.1,1000,0.3,0.2,4,150
5,0,4,630.35,1000,5000,0.1,1000,0.2,0.3,4,150
68,0,2,632.03,1000,5000,0.2,1000,0.4,0.1,4,150
43,0,2,693.7,1000,5000,0.2,1000,0.2,0.2,5,150
11,0,2,701.21,1000,5000,0.3,1000,0.1,0.3,5,150
48,0,3,712.69,1000,5000,0.4,1000,0.1,0.3,5,150
70,0,4,710.91,1000,5000,0.2,1000,0.1,0.3,5,150
80,0,2,639.87,1000,5000,0.3,1000,0.2,0.3,4,150
73,0,4,710.59,1000,5000,0.4,1000,0.3,0.1,5,150
90,0,2,706.48,1000,5000,0.1,1000,0.2,0.2,5,150
58,0,2,644.34,1000,5000,0.2,1000,0.2,0.3,4,150
5,0,2,707.46,1000,5000,0.1,1000,0.1,0.3,5,150
37,0,2,708.19,1000,5000,0.3,1000,0.2,0.2,5,150
29,0,4,708.61,1000,5000,0.2,1000,0.1,0.3,5,150
48,0,4,713.61,1000,5000,0.3,1000,0.1,0.3,5,150
20,0,4,714.07,1000,5000,0.4,1000,0.3,0.1,5,150
45,0,2,712.57,1000,5000,0.4,1000,0.3,0.1,5,150
89,0,2,640.79,1000,5000,0.2,1000,0.2,0.3,4,150
85,0,2,701.2,1000,5000,0.2,1000,0.2,0.2,5,150
77,0,4,695.14,1000,5000,0.1,1000,0.1,0.3,5,150
48,0,2,631.18,1000,5000,0.2,1000,0.4,0.1,4,150
68,0,2,637.32,1000,5000,0.3,1000,0.1,0.4,4,150
81,0,2,637.58,1000,5000,0.2,1000,0.2,0.3,4,150
20,0,2,707.45,1000,5000,0.4,1000,0.2,0.2,5,150
87,0,2,708.15,1000,5000,0.3,1000,0.2,0.2,5,150
7,0,4,700.71,1000,5000,0.1,1000,0.3,0.1,5,150
8,0,4,635.67,1000,5000,0.2,1000,0.2,0.3,4,150
4,0,4,700.16,1000,5000,0.3,1000,0.2,0.2,5,150
51,0,3,694.49,1000,5000,0.1,1000,0.3,0.1,5,150
72,0,4,713.29,1000,5000,0.2,1000,0.2,0.2,5,150
27,0,4,703.69,1000,5000,0.1,1000,0.3,0.1,5,150
50,0,2,634.9,1000,5000,0.4,1000,0.4,0.1,4,150
18,0,2,635.55,1000,5000,0.2,1000,0.4,0.1,4,150
17,0,4,641.03,1000,5000,0.1,1000,0.2,0.3,4,150
71,0,2,706.79,1000,5000,0.4,1000,0.2,0.2,5,150
74,0,2,639.32,1000,5000,0.1,1000,0.2,0.3,4,150
74,0,2,645.96,1000,5000,0.4,1000,0.3,0.2,4,150
46,0,2,636.26,1000,5000,0.2,1000,0.3,0.2,4,150
11,0,2,638.15,1000,5000,0.4,1000,0.4,0.1,4,150
17,0,2,700.42,1000,5000,0.3,1000,0.2,0.2,5,150
80,0,2,644.07,1000,5000,0.2,1000,0.1,0.4,4,150
87,0,2,639.27,1000,5000,0.3,1000,0.1,0.4,4,150
14,0,2,836.8,1000,5000,0.4,1000,0.1,0.1,10,150
76,0,2,633.38,1000,5000,0.4,1000,0.3,0.2,4,150
76,0,4,626.95,1000,5000,0.1,1000,0.3,0.2,4,150
49,0,4,691.21,1000,5000,0.1,1000,0.1,0.3,5,150
70,0,4,631.95,1000,5000,0.1,1000,0.2,0.3,4,150
67,0,2,634.07,1000,5000,0.2,1000,0.4,0.1,4,150
82,0,4,636.08,1000,5000,0.2,1000,0.2,0.3,4,150
87,0,2,695.6,1000,5000,0.4,1000,0.1,0.3,5,150
14,0,4,693.54,1000,5000,0.2,1000,0.3,0.1,5,150
87,0,2,821.16,1000,5000,0.1,1000,0.1,0.1,10,150
55,0,2,634.19,1000,5000,0.3,1000,0.2,0.3,4,150
58,0,2,637.13,1000,5000,0.3,1000,0.1,0.4,4,150
64,0,4,634.57,1000,5000,0.1,1000,0.2,0.3,4,150
92,0,2,814.13,1000,5000,0.1,1000,0.1,0.1,10,150
64,0,2,644.03,1000,5000,0.4,1000,0.1,0.4,4,150
81,0,2,635.41,1000,5000,0.4,1000,0.2,0.3,4,150
80,0,2,696.87,1000,5000,0.3,1000,0.1,0.3,5,150
19,0,2,687.72,1000,5000,0.1,1000,0.2,0.2,5,150
20,0,4,696.24,1000,5000,0.4,1000,0.3,0.1,5,150
62,0,2,685.76,1000,5000,0.1,1000,0.3,0.1,5,150
39,0,2,696.58,1000,5000,0.4,1000,0.3,0.1,5,150
76,0,4,815.44,1000,5000,0.1,1000,0.1,0.1,10,150
7,0,4,702.28,1000,5000,0.4,1000,0.2,0.2,5,150
14,0,4,831.48,1000,5000,0.2,1000,0.1,0.1,10,150
72,0,4,699.87,1000,5000,0.4,1000,0.2,0.2,5,150
10,0,4,695.57,1000,5000,0.2,1000,0.1,0.3,5,150
8,0,2,632.25,1000,5000,0.4,1000,0.4,0.1,4,150
16,0,4,632.92,1000,5000,0.1,1000,0.1,0.4,4,150
70,0,2,632.76,1000,5000,0.3,1000,0.4,0.1,4,150
33,0,2,642.67,1000,5000,0.3,1000,0.1,0.4,4,150
27,0,4,688.5,1000,5000,0.4,1000,0.3,0.2,4,150
51,0,2,827.58,1000,5000,0.4,1000,0.2,0.3,4,150
91,0,4,886.02,1000,5000,0.1,1000,0.2,0.2,5,150
15,0,4,874.16,1000,5000,0.1,1000,0.4,0.1,4,150
56,0,2,942.24,1000,5000,0.4,1000,0.3,0.1,5,150
28,0,2,1061.87,1000,5000,0.4,1000,0.2,0.2,5,150
43,0,4,1108.58,1000,5000,0.1,1000,0.1,0.3,5,150
75,0,4,1205.66,1000,5000,0.3,1000,0.2,0.2,5,150
0,0,2,1262.62,1000,5000,0.3,1000,0.2,0.2,5,150
90,0,4,1276.91,1000,5000,0.1,1000,0.1,0.3,5,150
75,0,4,1409.09,1000,5000,0.2,1000,0.1,0.1,10,150
4,0,2,1237.79,1000,5000,0.1,1000,0.1,0.3,5,150
29,0,4,1419.8,1000,5000,0.4,1000,0.1,0.1,10,150
27,0,4,1083.99,1000,5000,0.4,1000,0.4,0.1,4,150
92,0,4,1059.21,1000,5000,0.1,1000,0.1,0.4,4,150
9,0,4,1199.13,1000,5000,0.2,1000,0.3,0.1,5,150
35,0,4,1194.66,1000,5000,0.4,1000,0.2,0.2,5,150
31,0,2,1069.08,1000,5000,0.3,1000,0.4,0.1,4,150
52,0,2,1055.79,1000,5000,0.3,1000,0.4,0.1,4,150
12,0,3,1166.59,1000,5000,0.1,1000,0.2,0.2,5,150
52,0,2,1053.13,1000,5000,0.4,1000,0.3,0.2,4,150
45,0,4,1079.36,1000,5000,0.4,1000,0.3,0.2,4,150
84,0,2,1181.26,1000,5000,0.3,1000,0.1,0.3,5,150
93,0,2,1127.96,1000,5000,0.2,1000,0.4,0.1,4,150
93,0,3,1168.51,1000,5000,0.2,1000,0.3,0.2,4,150
7,0,4,1250.57,1000,5000,0.3,1000,0.1,0.3,5,150
24,0,2,1228.85,1000,5000,0.4,1000,0.2,0.2,5,150
13,0,4,1240.8,1000,5000,0.2,1000,0.3,0.1,5,150
86,0,2,1450.17,1000,5000,0.4,1000,0.1,0.1,10,150
