puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,random_selection_rate,nb_children,restart_after_n_stagnant
8,0,6,128.5,1000,500,0.2,1000,0.4,0.1,4,100
3,0,4,128.46,1000,500,0.3,1000,0.1,0.4,4,100
10,0,8,129.66,1000,500,0.1,1000,0.1,0.4,4,100
1,0,4,167.55,1000,500,0.3,1000,0.1,0.1,10,100
8,0,6,167.97,1000,500,0.3,1000,0.1,0.1,10,100
4,0,6,168.19,1000,500,0.3,1000,0.1,0.1,10,100
0,0,2,469.34,1000,2000,0.2,1000,0.2,0.3,4,100
3,0,2,475.6,1000,2000,0.3,1000,0.1,0.4,4,100
9,0,4,513.23,1000,2000,0.05,1000,0.3,0.1,5,100
1,0,3,521.92,1000,2000,0.1,1000,0.1,0.3,5,100
3,0,2,449.11,1000,2000,0.1,1000,0.2,0.3,4,100
8,0,4,455.94,1000,2000,0.1,1000,0.4,0.1,4,100
5,0,6,119.32,1000,500,0.05,1000,0.1,0.3,5,100
4,0,2,492.08,1000,2000,0.3,1000,0.2,0.2,5,100
3,0,2,455.26,1000,2000,0.3,1000,0.1,0.3,5,100
1,0,2,455.56,1000,2000,0.3,1000,0.2,0.2,5,100
1,0,2,99.73,1000,500,0.05,1000,0.2,0.3,4,100
1,0,2,1072.44,1000,5000,0.1,1000,0.3,0.2,4,100
9,0,3,1032.02,1000,5000,0.1,1000,0.2,0.3,4,100
0,0,2,1018.89,1000,5000,0.3,1000,0.1,0.4,4,100
1,0,7,64.88,1000,500,0.05,1000,0.1,0.4,4,100
6,0,2,1071.22,1000,5000,0.05,1000,0.1,0.3,5,100
9,0,4,1294.59,1000,5000,0.3,1000,0.1,0.1,10,100
6,0,2,70.05,1000,500,0.05,1000,0.1,0.3,5,100
0,0,5,837.67,1000,5000,0.1,1000,0.1,0.4,4,100
7,0,2,813.8,1000,5000,0.1,1000,0.4,0.1,4,100
9,0,4,896.88,1000,5000,0.05,1000,0.2,0.2,5,100
4,0,4,255.25,1000,2000,0.1,1000,0.1,0.4,4,100
10,0,5,331.82,1000,2000,0.1,1000,0.1,0.1,10,100
1,0,2,865.12,1000,5000,0.05,1000,0.3,0.1,5,100
4,0,5,64.08,1000,500,0.1,1000,0.4,0.1,4,100
6,0,2,1057.71,1000,5000,0.3,1000,0.1,0.1,10,100
9,0,3,665.68,1000,5000,0.05,1000,0.3,0.2,4,100
4,0,4,770.15,1000,5000,0.2,1000,0.3,0.1,5,100
10,0,5,254.88,1000,2000,0.1,1000,0.4,0.1,4,100
9,0,2,712.0,1000,5000,0.2,1000,0.2,0.2,5,100
10,0,2,256.31,1000,2000,0.1,1000,0.3,0.2,4,100
4,0,7,64.01,1000,500,0.05,1000,0.2,0.3,4,100
7,0,2,638.45,1000,5000,0.3,1000,0.1,0.4,4,100
5,0,4,632.48,999,5000,0.1,1000,0.3,0.2,4,100
10,0,4,254.96,1000,2000,0.05,1000,0.1,0.4,4,100
3,0,2,821.78,1000,5000,0.2,1000,0.1,0.1,10,100
0,0,2,277.4,1000,2000,0.1,1000,0.2,0.2,5,100
9,0,4,64.64,1000,500,0.3,1000,0.1,0.4,4,100
5,0,4,701.93,1000,5000,0.05,1000,0.1,0.3,5,100
1,0,4,636.58,1000,5000,0.2,1000,0.3,0.2,4,100
3,0,2,690.52,1000,5000,0.1,1000,0.2,0.2,5,100
10,0,4,64.97,1000,500,0.3,1000,0.1,0.4,4,100
7,1,0,31.23,47,5000,0.2,1000,0.3,0.2,4,100
6,0,2,70.36,1000,500,0.3,1000,0.3,0.1,5,100
0,0,4,253.42,1000,2000,0.1,1000,0.1,0.4,4,100
8,0,4,703.35,1000,5000,0.1,1000,0.1,0.3,5,100
3,0,2,628.57,1000,5000,0.1,1000,0.4,0.1,4,100
6,0,3,277.23,1000,2000,0.05,1000,0.2,0.2,5,100
5,0,2,254.36,1000,2000,0.3,1000,0.4,0.1,4,100
5,0,5,64.18,1000,500,0.3,1000,0.2,0.3,4,100
