puzzle_id,solved,time_seconds,generations_run,fitness
4,1,10.65,14,0
7,1,15.0,20,0
0,1,17.98,24,0
11,1,24.02,33,0
15,1,13.5,17,0
16,1,14.81,19,0
9,1,68.27,96,0
14,1,163.2,223,0
18,1,414.64,587,0
19,1,367.11,510,0
1,1,643.44,913,0
10,1,697.29,992,0
8,0,704.4,1000,2
2,0,705.67,1000,2
3,0,706.32,1000,2
5,0,713.06,1000,2
6,0,717.94,1000,2
12,0,710.62,1000,4
13,0,714.71,1000,2
17,0,713.5,1000,2
23,1,502.38,676,0
20,0,730.4,1000,2
32,1,22.07,29,0
29,1,510.52,684,0
35,1,15.15,20,0
33,1,81.98,115,0
21,0,755.08,1000,2
38,1,24.13,31,0
39,1,38.27,50,0
22,0,738.01,1000,2
24,0,732.0,1000,2
26,0,734.28,1000,2
25,0,738.26,1000,2
27,0,736.77,1000,2
28,0,739.96,1000,2
30,0,732.36,1000,2
31,0,735.4,1000,2
34,1,305.83,420,0
40,1,320.67,317,0
44,1,332.54,283,0
37,1,484.18,494,0
36,1,686.12,692,0
42,1,706.6,599,0
41,0,1116.72,1000,2
43,0,1157.53,1000,4
45,0,1165.35,1000,2
47,0,1162.87,1000,2
46,0,1172.97,1000,2
48,0,1170.27,1000,2
49,0,1155.91,1000,2
