puzzle_id,solved,time_seconds,generations_run,fitness
11,0,699.76,1000,2
7,0,700.66,1000,2
6,0,702.73,1000,4
3,0,703.44,1000,2
0,0,703.82,1000,2
8,0,704.17,1000,2
2,0,704.8,1000,2
9,0,705.49,1000,2
5,0,706.22,1000,4
1,0,708.3,1000,2
10,0,709.55,1000,2
4,0,710.21,1000,4
21,0,699.56,1000,2
19,0,702.41,1000,2
13,0,709.23,1000,2
16,0,706.95,1000,2
12,0,712.28,1000,2
15,0,710.06,1000,2
14,0,711.76,1000,2
18,0,710.67,1000,2
20,0,709.23,1000,4
17,0,712.07,1000,2
23,0,706.14,1000,2
22,0,707.99,1000,2
24,0,712.25,1000,2
26,0,715.29,1000,4
25,0,717.9,1000,2
28,0,714.24,1000,2
32,0,711.82,1000,2
27,0,720.22,1000,4
31,0,716.12,1000,3
34,0,715.85,1000,2
30,0,718.08,1000,2
29,0,719.68,1000,4
33,0,721.33,1000,4
35,0,722.05,1000,4
36,0,718.81,1000,2
37,0,716.03,1000,2
40,0,715.67,1000,2
38,0,719.05,1000,4
42,0,713.75,1000,2
39,0,722.2,1000,2
41,0,718.28,1000,2
44,0,718.26,1000,2
43,0,722.23,1000,2
45,0,723.44,1000,4
46,0,723.4,1000,4
47,0,721.73,1000,2
48,0,711.96,1000,2
52,0,709.64,1000,2
49,0,713.79,1000,2
50,0,714.98,1000,2
51,0,714.89,1000,2
55,0,711.8,1000,2
54,0,713.94,1000,2
53,0,717.11,1000,2
57,0,711.31,1000,4
56,0,713.55,1000,2
58,0,712.93,1000,2
59,0,714.26,1000,2
62,0,695.81,1000,2
60,0,701.08,1000,2
61,0,703.15,1000,2
63,0,701.88,1000,2
65,0,703.6,1000,2
68,0,698.56,1000,2
64,0,708.15,1000,2
66,0,705.76,1000,4
69,0,704.07,1000,2
67,0,709.95,1000,4
71,0,703.52,1000,2
70,0,709.92,1000,4
72,0,693.81,1000,2
73,0,698.7,1000,2
74,0,693.08,1000,2
77,0,690.99,1000,2
75,0,703.21,1000,4
76,0,701.79,1000,2
78,0,701.65,1000,4
79,0,700.68,1000,2
81,0,698.03,1000,2
80,0,702.81,1000,2
82,0,704.31,1000,4
83,0,704.8,1000,4
84,0,688.81,1000,2
86,0,683.5,1000,2
85,0,684.31,1000,2
87,0,681.89,1000,2
88,0,684.53,1000,2
89,0,681.41,1000,2
90,0,680.75,1000,2
91,0,684.76,1000,2
92,0,684.32,1000,2
93,0,684.58,1000,2
94,0,682.88,1000,2
